index,code,name,exchange,ticker,project_code
CSI300,600000,浦发银行,SH,600000.SH,sh.600000
CSI300,600009,上海机场,SH,600009.SH,sh.600009
CSI300,600010,包钢股份,SH,600010.SH,sh.600010
CSI300,600011,华能国际,SH,600011.SH,sh.600011
CSI300,600015,华夏银行,SH,600015.SH,sh.600015
CSI300,600016,民生银行,SH,600016.SH,sh.600016
CSI300,600018,上港集团,SH,600018.SH,sh.600018
CSI300,600019,宝钢股份,SH,600019.SH,sh.600019
CSI300,600023,浙能电力,SH,600023.SH,sh.600023
CSI300,600025,华能水电,SH,600025.SH,sh.600025
CSI300,600026,中远海能,SH,600026.SH,sh.600026
CSI300,600027,华电国际,SH,600027.SH,sh.600027
CSI300,600028,中国石化,SH,600028.SH,sh.600028
CSI300,600029,南方航空,SH,600029.SH,sh.600029
CSI300,600030,中信证券,SH,600030.SH,sh.600030
CSI300,600031,三一重工,SH,600031.SH,sh.600031
CSI300,600036,招商银行,SH,600036.SH,sh.600036
CSI300,600039,四川路桥,SH,600039.SH,sh.600039
CSI300,600048,保利发展,SH,600048.SH,sh.600048
CSI300,600050,中国联通,SH,600050.SH,sh.600050
CSI300,600061,国投资本,SH,600061.SH,sh.600061
CSI300,600066,宇通客车,SH,600066.SH,sh.600066
CSI300,600085,同仁堂,SH,600085.SH,sh.600085
CSI300,600089,特变电工,SH,600089.SH,sh.600089
CSI300,600104,上汽集团,SH,600104.SH,sh.600104
CSI300,600111,北方稀土,SH,600111.SH,sh.600111
CSI300,600115,中国东航,SH,600115.SH,sh.600115
CSI300,600118,中国卫星,SH,600118.SH,sh.600118
CSI300,600150,中国船舶,SH,600150.SH,sh.600150
CSI300,600160,巨化股份,SH,600160.SH,sh.600160
CSI300,600176,中国巨石,SH,600176.SH,sh.600176
CSI300,600183,生益科技,SH,600183.SH,sh.600183
CSI300,600188,兖矿能源,SH,600188.SH,sh.600188
CSI300,600196,复星医药,SH,600196.SH,sh.600196
CSI300,600219,南山铝业,SH,600219.SH,sh.600219
CSI300,600221,海航控股,SH,600221.SH,sh.600221
CSI300,600233,圆通速递,SH,600233.SH,sh.600233
CSI300,600276,恒瑞医药,SH,600276.SH,sh.600276
CSI300,600309,万华化学,SH,600309.SH,sh.600309
CSI300,600346,恒力石化,SH,600346.SH,sh.600346
CSI300,600362,江西铜业,SH,600362.SH,sh.600362
CSI300,600372,中航机载,SH,600372.SH,sh.600372
CSI300,600406,国电南瑞,SH,600406.SH,sh.600406
CSI300,600415,小商品城,SH,600415.SH,sh.600415
CSI300,600426,华鲁恒升,SH,600426.SH,sh.600426
CSI300,600436,片仔癀,SH,600436.SH,sh.600436
CSI300,600438,通威股份,SH,600438.SH,sh.600438
CSI300,600460,士兰微,SH,600460.SH,sh.600460
CSI300,600482,中国动力,SH,600482.SH,sh.600482
CSI300,600489,中金黄金,SH,600489.SH,sh.600489
CSI300,600515,海南机场,SH,600515.SH,sh.600515
CSI300,600519,贵州茅台,SH,600519.SH,sh.600519
CSI300,600522,中天科技,SH,600522.SH,sh.600522
CSI300,600547,山东黄金,SH,600547.SH,sh.600547
CSI300,600549,厦门钨业,SH,600549.SH,sh.600549
CSI300,600570,恒生电子,SH,600570.SH,sh.600570
CSI300,600584,长电科技,SH,600584.SH,sh.600584
CSI300,600585,海螺水泥,SH,600585.SH,sh.600585
CSI300,600588,用友网络,SH,600588.SH,sh.600588
CSI300,600600,青岛啤酒,SH,600600.SH,sh.600600
CSI300,600660,福耀玻璃,SH,600660.SH,sh.600660
CSI300,600674,川投能源,SH,600674.SH,sh.600674
CSI300,600690,海尔智家,SH,600690.SH,sh.600690
CSI300,600741,华域汽车,SH,600741.SH,sh.600741
CSI300,600760,中航沈飞,SH,600760.SH,sh.600760
CSI300,600795,国电电力,SH,600795.SH,sh.600795
CSI300,600803,新奥股份,SH,600803.SH,sh.600803
CSI300,600809,山西汾酒,SH,600809.SH,sh.600809
CSI300,600845,宝信软件,SH,600845.SH,sh.600845
CSI300,600875,东方电气,SH,600875.SH,sh.600875
CSI300,600886,国投电力,SH,600886.SH,sh.600886
CSI300,600887,伊利股份,SH,600887.SH,sh.600887
CSI300,600893,航发动力,SH,600893.SH,sh.600893
CSI300,600900,长江电力,SH,600900.SH,sh.600900
CSI300,600905,三峡能源,SH,600905.SH,sh.600905
CSI300,600918,中泰证券,SH,600918.SH,sh.600918
CSI300,600919,江苏银行,SH,600919.SH,sh.600919
CSI300,600926,杭州银行,SH,600926.SH,sh.600926
CSI300,600930,华电新能,SH,600930.SH,sh.600930
CSI300,600938,中国海油,SH,600938.SH,sh.600938
CSI300,600941,中国移动,SH,600941.SH,sh.600941
CSI300,600958,东方证券,SH,600958.SH,sh.600958
CSI300,600989,宝丰能源,SH,600989.SH,sh.600989
CSI300,600999,招商证券,SH,600999.SH,sh.600999
CSI300,601006,大秦铁路,SH,601006.SH,sh.601006
CSI300,601009,南京银行,SH,601009.SH,sh.601009
CSI300,601012,隆基绿能,SH,601012.SH,sh.601012
CSI300,601018,宁波港,SH,601018.SH,sh.601018
CSI300,601021,春秋航空,SH,601021.SH,sh.601021
CSI300,601058,赛轮轮胎,SH,601058.SH,sh.601058
CSI300,601059,信达证券,SH,601059.SH,sh.601059
CSI300,601066,中信建投,SH,601066.SH,sh.601066
CSI300,601077,渝农商行,SH,601077.SH,sh.601077
CSI300,601088,中国神华,SH,601088.SH,sh.601088
CSI300,601100,恒立液压,SH,601100.SH,sh.601100
CSI300,601111,中国国航,SH,601111.SH,sh.601111
CSI300,601117,中国化学,SH,601117.SH,sh.601117
